,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10707,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19599406.0,19599406.0,False,,1,,,,2024-01-15T17:29:00.000Z,42663.29237295566,23218475362.62538,73.7934,0.56933628,-0.65422269,-5.70723595,0.30427523,16.69245803,49.99110697,836175188514.2614,49.8085,895929139832.07,,2024-01-15T17:29:00.000Z,,,,,,2024-01-15 12:30:36.340463
1,1027,Ethereum,ETH,ethereum,8248,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120180819.14963801,120180819.14963801,True,,2,,,,2024-01-15T17:29:00.000Z,2531.9876348230227,10818797629.820082,20.8818,0.48445021,0.09678526,11.51295588,12.49869028,25.80689812,61.24070581,304296348029.7854,18.126,304296348029.79,,2024-01-15T17:29:00.000Z,,,,,,2024-01-15 12:30:36.340463
2,825,Tether USDt,USDT,tether,71372,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,95010835095.95918,98602960962.7516,True,,3,,,,2024-01-15T17:28:00.000Z,0.9996488279502291,43062539132.462616,40.9249,0.01336571,-0.01782888,-0.11412949,0.02489479,-0.04986311,-0.08761708,94977469946.2481,5.6575,98568334358.84,,2024-01-15T17:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-15 12:30:36.340463
3,1839,BNB,BNB,bnb,2008,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151689561.1880184,151689561.1880184,False,,4,,,,2024-01-15T17:28:00.000Z,317.2688445607481,1590211403.3613477,113.2205,0.30399577,3.84311529,5.24800218,28.84694169,28.27486512,49.72727044,48126371810.0495,2.8667,48126371810.05,,2024-01-15T17:28:00.000Z,,,,,,2024-01-15 12:30:36.340463
4,5426,Solana,SOL,solana,614,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,432684519.4713864,567229310.4871085,True,,5,,,,2024-01-15T17:29:00.000Z,95.06967157710022,2231810172.389303,-11.9744,0.99692583,-5.72997948,-0.20442591,24.74655523,51.7472169,294.39180546,41135175162.64013,2.4489,53926304256.91,,2024-01-15T17:29:00.000Z,,,,,,2024-01-15 12:30:36.340463
5,52,XRP,XRP,xrp,1199,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54266821529.0,99988013070.0,False,,6,,,,2024-01-15T17:29:00.000Z,0.573290238889607,1190912766.913592,118.1948,0.29479847,-1.10127874,1.13901715,-8.00896688,-8.39261956,16.85055389,31110639078.140076,1.8532,57329023888.96,,2024-01-15T17:29:00.000Z,,,,,,2024-01-15 12:30:36.340463
6,3408,USDC,USDC,usd-coin,16210,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25483730797.828663,25483730797.828663,False,,7,,,,2024-01-15T17:29:00.000Z,1.0001507709884387,5283538153.205542,65.5375,0.00220692,-0.00488194,-0.01062093,0.01419681,0.01614309,0.01086823,25487573005.110157,1.5182,25487573005.11,,2024-01-15T17:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-15 12:30:36.340463
7,2010,Cardano,ADA,cardano,1024,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35395220857.908,36528237975.525,False,,8,,,,2024-01-15T17:28:00.000Z,0.5277263624809433,384130436.2289018,32.66,0.41661525,-3.39982616,3.0231089,-15.39983584,37.77385473,113.27120744,18678991152.553402,1.1127,23747686311.64,,2024-01-15T17:28:00.000Z,,,,,,2024-01-15 12:30:36.340463
8,5805,Avalanche,AVAX,avalanche,636,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366648413.69842523,434681323.69842523,False,,9,,,,2024-01-15T17:28:00.000Z,36.146276575612184,533117027.305181,-5.6985,1.9079029,-3.33359401,5.52531458,-18.67551566,58.16459391,296.73882043,13252974967.552753,0.7894,26025319134.44,,2024-01-15T17:28:00.000Z,,,,,,2024-01-15 12:30:36.340463
9,74,Dogecoin,DOGE,dogecoin,873,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142664846383.70523,142664846383.70523,True,,10,,,,2024-01-15T17:29:00.000Z,0.08065369516230576,319921207.29735494,-21.7107,0.31531034,-1.54289905,1.57203178,-15.09503101,3.04966597,36.68041353,11506447030.608541,0.6854,11506447030.61,,2024-01-15T17:29:00.000Z,,,,,,2024-01-15 12:30:36.340463
